HBox(children=(IntProgress(value=0, max=11), HTML(value='')))

#model:  d-lm
#mu:  80
measure	noise	score
necs	0.0	0.6957970071521807
necs	0.1	0.27476148415988266
necs	0.2	0.19524365817756423
necs	0.3	0.1268363230566173
necs	0.4	0.14486560299075332
necs	0.5	0.11497641867402321
necs	0.6	0.11269414151841337
necs	0.7	0.08331550841646465
necs	0.8	0.10448292724126712
necs	0.9	0.10142557702915668
necs	1.0	0.08531529867582889
ncbp	0.0	0.7539950458291169
ncbp	0.1	0.3285380000194223
ncbp	0.2	0.23275454034553952
ncbp	0.3	0.15633830756113276
ncbp	0.4	0.17459418384174025
ncbp	0.5	0.13932939677810321
ncbp	0.6	0.13469760612104356
ncbp	0.7	0.10107437873900511
ncbp	0.8	0.12615857733088875
ncbp	0.9	0.12458947212326076
ncbp	1.0	0.10359375047719904
ncp	0.0	0.7445192113564755
ncp	0.1	0.31930826414609703
ncp	0.2	0.22088646736127018
ncp	0.3	0.15218561399507902
ncp	0.4	0.16702048349523663
ncp	0.5	0.13011773182955672
ncp	0.6	0.12780686530783764
ncp	0.7	0.0957903444228235
ncp	0.8	0.11685417827248203
ncp	0.9	0.11758470001283826
ncp	1.0	0.09780742855815876
